Driver,Sebastian Chudek,,,,,,SPEED,
Vehicle,mx5 mx52016,,,,,,THROTTLE,
Venue,okayama full,,,,,,BRAKING,
Session,Test,,,,,,RPM,
Session Date,18/03/2022,,,,,,GEAR,
Session Time,23:18:32,,,,,,TIME,
Sample Rate,60,Hz,,,,,,
,,,,,,,,
,,,,,,,,
,Lap No.,Brake,Gear,RPM,Speed,Throttle,LapDist,SessionTick
,,%,,rpm,m/s,%,m,
,,,,,,,,
,1,0,2,5765.24,28.5092,100,89.9875,40211
,1,0,2,5773.77,28.5562,100,90.4627,40212
,1,0,2,5786.62,28.602,100,90.9387,40213
,1,0,2,5802.21,28.6469,100,91.4154,40214
,1,0,2,5816.27,28.6919,100,91.8929,40215
,1,0,2,5824.94,28.7378,100,92.3712,40216
,1,0,2,5828.56,28.7847,100,92.8502,40217
,1,0,2,5831.65,28.8318,100,93.3299,40218
,1,0,2,5838.73,28.8778,100,93.8104,40219
,1,0,2,5852.51,28.9228,100,94.2917,40220
,1,0,2,5869.36,28.9672,100,94.7737,40221
,1,0,2,5883.94,29.0113,100,95.2565,40222
,1,0,2,5894.86,29.0566,100,95.74,40223
,1,0,2,5903.12,29.1028,100,96.2242,40224
,1,0,2,5910.16,29.1492,100,96.7092,40225
,1,0,2,5917.63,29.1954,100,97.195,40226
,1,0,2,5927.4,29.2419,100,97.6815,40227
,1,0,2,5938.18,29.2884,100,98.1688,40228
,1,0,2,5947.57,29.3345,100,98.6569,40229
,1,0,2,5956.5,29.3806,100,99.1458,40230
,1,0,2,5966.14,29.4273,100,99.6353,40231
,1,0,2,5973.25,29.4744,100,100.126,40232
,1,0,2,5976.68,29.5215,100,100.617,40233
,1,0,2,5980.83,29.568,100,101.109,40234
,1,0,2,5988.83,29.613,100,101.602,40235
,1,0,2,5999.79,29.6567,100,102.095,40236
,1,0,2,6009.96,29.6999,100,102.589,40237
,1,0,2,6017.1,29.7435,100,103.084,40238
,1,0,2,6026.71,29.7868,100,103.58,40239
,1,0,2,6047.41,29.8285,100,104.076,40240
,1,0,2,6076.65,29.8708,100,104.573,40241
,1,0,2,6101.9,29.9145,100,105.071,40242
,1,0,2,6113.32,29.9606,100,105.569,40243
,1,0,2,6110.1,30.0097,100,106.068,40244
,1,0,2,6100.35,30.0607,100,106.568,40245
,1,0,2,6094.3,30.1113,100,107.069,40246
,1,0,2,6097.5,30.1597,100,107.571,40247
,1,0,2,6110.24,30.2051,100,108.074,40248
,1,0,2,6127.38,30.2493,100,108.577,40249
,1,0,2,6140.7,30.2934,100,109.081,40250
,1,0,2,6146.77,30.3385,100,109.585,40251
,1,0,2,6148.1,30.3843,100,110.091,40252
,1,0,2,6151.88,30.4304,100,110.597,40253
,1,0,2,6162.1,30.4757,100,111.104,40254
,1,0,2,6176.18,30.5191,100,111.612,40255
,1,0,2,6191.37,30.5619,100,112.12,40256
,1,0,2,6204.76,30.6053,100,112.629,40257
,1,0,2,6211.76,30.6496,100,113.139,40258
,1,0,2,6213.42,30.6947,100,113.65,40259
,1,0,2,6218.04,30.7399,100,114.161,40260
,1,0,2,6230.89,30.7847,100,114.673,40261
,1,0,2,6248.96,30.8285,100,115.186,40262
,1,0,2,6266.58,30.8725,100,115.699,40263
,1,0,2,6278.68,30.9174,100,116.213,40264
,1,0,2,6280.97,30.9641,100,116.728,40265
,1,0,2,6273.49,31.0125,100,117.244,40266
,1,0,2,6263.96,31.0591,100,117.76,40267
,1,0,2,6262.92,31.1038,100,118.277,40268
,1,0,2,6273.35,31.1464,100,118.795,40269
,1,0,2,6291.46,31.1867,100,119.314,40270
,1,0,2,6311.12,31.2253,100,119.833,40271
,1,0,2,6331.19,31.2643,100,120.353,40272
,1,0,2,6349.73,31.3063,100,120.874,40273
,1,0,2,6360.76,31.3496,100,121.395,40274
,1,0,2,6368.02,31.3935,100,121.917,40275
,1,0,2,6377.53,31.4379,100,122.439,40276
,1,0,2,6385.8,31.4828,100,122.963,40277
,1,0,2,6384.05,31.5289,100,123.487,40278
,1,0,2,6375.3,31.5746,100,124.011,40279
,1,0,2,6372.48,31.6202,100,124.537,40280
,1,0,2,6382.6,31.6626,100,125.063,40281
,1,0,2,6405.11,31.7029,100,125.59,40282
,1,0,2,6428.32,31.7426,100,126.118,40283
,1,0,2,6440.65,31.7831,100,126.646,40284
,1,0,2,6441.14,31.8254,100,127.175,40285
,1,0,2,6438.41,31.8688,100,127.704,40286
,1,0,2,6439.94,31.9117,100,128.234,40287
,1,0,2,6447.85,31.9521,100,128.765,40288
,1,0,2,6462.89,31.9903,100,129.297,40289
,1,0,2,6483.36,32.0284,100,129.829,40290
,1,0,2,6503.02,32.0661,100,130.361,40291
,1,0,2,6521.75,32.1036,100,130.894,40292
,1,0,2,6540.83,32.1445,100,131.428,40293
,1,0,2,6553.79,32.186,100,131.963,40294
,1,0,2,6562.38,32.2291,100,132.498,40295
,1,0,2,6569.55,32.2744,100,133.034,40296
,1,0,2,6574.07,32.3201,100,133.571,40297
,1,0,2,6580.58,32.3668,100,134.108,40298
,1,0,2,6588.04,32.4151,100,134.646,40299
,1,0,2,6584.13,32.4657,100,135.185,40300
,1,0,2,6565.79,32.5149,100,135.725,40301
,1,0,2,6547.91,32.5608,100,136.266,40302
,1,0,2,6544.77,32.6019,100,136.808,40303
,1,0,2,6557.78,32.6396,100,137.35,40304
,1,0,2,6575.94,32.6748,100,137.892,40305
,1,0,2,6595.62,32.7085,100,138.436,40306
,1,0,2,6622.99,32.7398,100,138.979,40307
,1,0,2,6660.34,32.7772,100,139.524,40308
,1,0,2,6686.71,32.8183,100,140.069,40309
,1,0,2,6694.4,32.8601,100,140.614,40310
,1,0,2,6696.4,32.906,100,141.161,40311
,1,0,2,6694.04,32.9572,100,141.708,40312
,1,0,2,6678.03,33.0048,100,142.256,40313
,1,0,2,6662.83,33.0522,100,142.805,40314
,1,0,2,6656.82,33.0965,100,143.355,40315
,1,0,2,6660.65,33.1358,100,143.905,40316
,1,0,2,6672.81,33.1724,100,144.456,40317
,1,0,2,6688.69,33.2082,100,145.008,40318
,1,0.285953,2,6705.09,33.243,100,145.56,40319
,1,0.78637,2,6725.52,33.2768,100,146.112,40320
,1,1.23913,2,6749.67,33.3122,100,146.666,40321
,1,1.53699,2,6768.45,33.3483,100,147.22,40322
,1,2.08507,2,6777.09,33.3844,100,147.774,40323
,1,2.28762,2,6780.79,33.4213,100,148.329,40324
,1,2.58549,2,6782.05,33.4591,99.9014,148.885,40325
,1,2.8357,2,6779.25,33.4964,91.0974,149.441,40326
,1,3.02633,2,6772.28,33.5325,83.7485,149.998,40327
,1,3.57441,2,6753.46,33.566,66.7324,150.556,40328
,1,3.7293,2,6711.3,33.5942,49.0999,151.114,40329
,1,4.12248,2,6624.48,33.613,15.3391,151.673,40330
,1,4.32503,2,6530.82,33.614,0,152.231,40331
,1,4.42035,2,6472.43,33.5967,0,152.79,40332
,1,4.57524,2,6411.57,33.5767,0,153.348,40333
,1,4.71822,2,6351.38,33.5566,0,153.906,40334
,1,4.67056,2,6320.3,33.5337,0,154.463,40335
,1,4.71822,2,6420.73,33.4825,0,155.02,40336
,1,4.92077,2,6532.55,33.4171,0,155.576,40337
,1,5.46884,2,6581.32,33.3584,0,156.131,40338
,1,5.67139,2,6572.25,33.3135,0,156.686,40339
,1,6.01692,2,6541.2,33.2793,0,157.239,40340
,1,6.11224,2,6514.06,33.2471,0,157.792,40341
,1,6.4101,2,6499.14,33.2122,0,158.344,40342
,1,6.61265,2,6493.14,33.1753,0,158.896,40343
,1,7.06541,2,6489.44,33.1374,0,159.447,40344
,1,7.36328,2,6483.63,33.0996,0,159.998,40345
,1,7.41094,2,6474.77,33.0626,0,160.548,40346
,1,7.75646,2,6464.86,33.0243,0,161.097,40347
,1,8.00667,2,6456.8,32.9836,0,161.646,40348
,1,8.45943,2,6451.4,32.941,0,162.194,40349
,1,8.80496,2,6446.99,32.8969,0,162.741,40350
,1,9.00751,2,6441.47,32.8523,0,163.288,40351
,1,9.55558,2,6434.13,32.8081,0,163.834,40352
,1,9.74622,2,6425.19,32.7632,0,164.379,40353
,1,10.6517,2,6415.76,32.7176,0,164.924,40354
,1,11.1998,2,6406.68,32.6701,0,165.467,40355
,1,11.7955,2,6397.18,32.6204,0,166.01,40356
,1,12.8917,2,6387.79,32.5698,0,166.553,40357
,1,13.3921,2,6377.33,32.5178,0,167.094,40358
,1,14.6312,2,6365.71,32.4646,0,167.634,40359
,1,15.2746,2,6353.51,32.4097,0,168.174,40360
,1,16.6686,2,6340.81,32.3524,0,168.713,40361
,1,17.4669,2,6328.41,32.2923,0,169.251,40362
,1,18.2652,2,6315.87,32.2295,0,169.787,40363
,1,20.3145,2,6302.88,32.1645,0,170.323,40364
,1,21.4584,2,6289.11,32.0968,0,170.858,40365
,1,23.6507,2,6273.5,32.0262,0,171.391,40366
,1,24.3894,2,6255.98,31.9517,0,171.924,40367
,1,25.0447,2,6236.04,31.8745,0,172.455,40368
,1,25.843,2,6215.24,31.7961,0,172.985,40369
,1,26.0932,2,6194.71,31.7182,0,173.513,40370
,1,25.9859,2,6174.29,31.6408,0,174.04,40371
,1,25.4379,2,6155,31.5641,0,174.561,40372
,1,24.4966,2,6136.84,31.4878,0,175.081,40373
,1,24.1987,2,6120.73,31.4116,0,175.599,40374
,1,23.7936,2,6107.42,31.3352,0,176.117,40375
,1,23.043,2,6095.27,31.2595,0,176.633,40376
,1,22.8047,2,6083.17,31.1856,0,177.149,40377
,1,22.6022,2,6070.46,31.1136,0,177.667,40378
,1,22.6022,2,6056.84,31.0416,0,178.184,40379
,1,22.7451,2,6043.71,30.9683,0,178.7,40380
,1,23.1502,2,6031.98,30.8942,0,179.214,40381
,1,23.2456,2,6020.39,30.8201,0,179.728,40382
,1,23.603,2,6007.11,30.7466,0,180.242,40383
,1,23.6507,2,5991.95,30.6732,0,180.758,40384
,1,23.8413,2,5976,30.5997,0,181.273,40385
,1,24.2464,2,5961.11,30.5251,0,181.787,40386
,1,24.4966,2,5947.61,30.4489,0,182.299,40387
,1,24.5919,2,5934.48,30.3719,0,182.81,40388
,1,24.4489,2,5920.72,30.2941,0,183.324,40389
,1,24.3417,2,5906.48,30.2173,0,183.838,40390
,1,23.746,2,5891.02,30.1413,0,184.351,40391
,1,23.4958,2,5874.82,30.0666,0,184.863,40392
,1,23.043,2,5859.15,29.9921,0,185.373,40393
,1,22.3043,2,5843.95,29.9184,0,185.882,40394
,1,21.1128,2,5829.43,29.846,0,186.395,40395
,1,20.1597,2,5816.24,29.7767,0,186.908,40396
,1,19.3614,2,5803.31,29.7093,0,187.419,40397
,1,17.872,2,5790.6,29.6426,0,187.929,40398
,1,17.4669,2,5779.27,29.578,0,188.439,40399
,1,16.7759,2,5768.98,29.5152,0,188.946,40400
,1,16.3231,2,5757.99,29.4545,0,189.46,40401
,1,15.9776,2,5745.49,29.396,0,189.972,40402
,1,15.4295,2,5732.49,29.339,0,190.484,40403
,1,15.227,2,5720.19,29.2827,0,190.994,40404
,1,14.7861,2,5709.36,29.2257,0,191.503,40405
,1,13.9878,2,5700,29.1683,0,192.011,40406
,1,13.4874,2,5691.38,29.1115,0,192.525,40407
,1,12.7368,2,5682.65,29.0569,0,193.038,40408
,1,12.5938,2,5672.82,29.0045,0,193.549,40409
,1,12.1411,2,5662.29,28.9534,0,194.059,40410
,1,12.0934,2,5651.61,28.9031,0,194.568,40411
,1,11.5453,2,5641.61,28.8525,0,195.077,40412
,1,11.2475,2,5632.53,28.8021,0,195.591,40413
,1,10.8424,2,5623.79,28.7515,0,196.104,40414
,1,9.69856,2,5614.36,28.7013,0,196.615,40415
,1,9.19814,2,5604.31,28.6535,0,197.124,40416
,1,8.6024,2,5594.38,28.6076,0,197.633,40417
,1,7.56583,2,5584.9,28.5621,0,198.142,40418
,1,7.01775,2,5576.72,28.5167,0,198.654,40419
,1,6.36244,2,5570.35,28.4724,0,199.165,40420
,1,6.21947,2,5564.61,28.4302,0,199.674,40421
,1,5.96926,2,5558.11,28.3888,0,200.182,40422
,1,5.71905,2,5550.22,28.3471,0,200.689,40423
,1,5.62373,2,5541.6,28.3054,0,201.196,40424
,1,5.56416,2,5533.26,28.2646,0,201.704,40425
,1,5.46884,2,5525.01,28.2255,0,202.211,40426
,1,5.26629,2,5516.25,28.1864,0,202.716,40427
,1,5.17098,2,5507.48,28.1469,0,203.219,40428
,1,5.01609,2,5499.56,28.1069,0,203.722,40429
,1,4.92077,2,5492.38,28.0671,0,204.219,40430
